c-none-major-none	x-3-2-0-1-0
c-none-minor-none	x-3-5-5-4-3
c-none-none-⁵		x-3-5-x-x-x
c-none-major-⁷		x-3-5-3-5-3
c-none-major-⁷⁺		x-3-5-4-5-3
c-none-minor-⁷		x-3-5-3-4-3
c-none-minor-⁷⁺		x-3-5-4-4-3
c-none-major-⁹		x-3-2-3-3-3
c-none-major-ᵐᵃʲ⁹	x-3-0-0-0-0
c-none-minor-⁹		x-3-1-3-3-3
c-none-major-ᵃᵈᵈ⁹	x-3-2-0-3-0
c-none-minor-ᵃᵈᵈ⁹	8-10-10-8-8-10
c-none-none-ˢᵘˢ⁴	8-10-10-10-8-8
c-none-none-ˢᵘˢ²	x-3-5-5-3-3
c-sharp-major-none	x-4-6-6-6-4
c-sharp-minor-none	9-11-11-9-9-9
c-sharp-none-⁵		9-11-x-x-x-x
c-sharp-major-⁷		9-11-9-10-9-9
c-sharp-major-⁷⁺	9-x-10-10-9-x
c-sharp-minor-⁷		9-11-9-9-9-9
c-sharp-minor-⁷⁺	x-4-6-5-5-4
c-sharp-major-⁹		9-8-9-8-9-x
c-sharp-major-ᵐᵃʲ⁹	9-8-10-8-9-8
c-sharp-minor-⁹		9-x-9-9-9-11
c-sharp-major-ᵃᵈᵈ⁹	9-11-x-10-9-11
c-sharp-minor-ᵃᵈᵈ⁹	9-11-11-9-9-11
c-sharp-none-ˢᵘˢ⁴	9-11-11-11-9-9
c-sharp-none-ˢᵘˢ²	x-4-6-6-4-4
d-none-major-none	x-x-0-2-3-2
d-none-minor-none	x-x-0-2-3-1
d-none-none-⁵		10-12-x-x-x-x
d-none-major-⁷		x-x-0-2-1-2
d-none-major-⁷⁺		x-x-0-2-2-2
d-none-minor-⁷		x-x-0-2-1-1
d-none-minor-⁷⁺		x-5-7-6-6-5
d-none-major-⁹		10-9-10-9-10-x
d-none-major-ᵐᵃʲ⁹	10-9-11-9-10-9
d-none-minor-⁹		10-x-10-10-10-12
d-none-major-ᵃᵈᵈ⁹	10-12-x-11-10-12
d-none-minor-ᵃᵈᵈ⁹	10-12-12-10-10-12
d-none-none-ˢᵘˢ⁴	x-x-0-2-3-3
d-none-none-ˢᵘˢ²	x-x-0-2-3-0
d-sharp-major-none	11-13-13-12-11-11
d-sharp-minor-none	11-13-13-11-11-11
d-sharp-none-⁵		11-13-x-x-x-x
d-sharp-major-⁷		x-x-1-3-2-3
d-sharp-major-⁷⁺	x-6-8-7-8-6
d-sharp-minor-⁷		x-x-1-3-2-2
d-sharp-minor-⁷⁺	x-6-8-7-7-6
d-sharp-major-⁹		x-6-5-6-6-6
d-sharp-major-ᵐᵃʲ⁹	11-10-12-10-11-10
d-sharp-minor-⁹		11-x-11-11-11-13
d-sharp-major-ᵃᵈᵈ⁹	11-13-x-12-11-13
d-sharp-minor-ᵃᵈᵈ⁹	11-13-13-11-11-13
d-sharp-none-ˢᵘˢ⁴	11-13-13-13-11-11
d-sharp-none-ˢᵘˢ²	x-6-8-8-6-6
e-none-major-none	0-2-2-1-0-0
e-none-minor-none	0-2-2-0-0-0
e-none-none-⁵		0-2-x-x-x-x
e-none-major-⁷		0-2-0-1-0-0
e-none-major-⁷⁺		0-2-1-1-0-0
e-none-minor-⁷		0-2-0-0-0-0
e-none-minor-⁷⁺		0-7-9-8-8-7
e-none-major-⁹		12-11-12-11-12-x
e-none-major-ᵐᵃʲ⁹	12-11-13-11-12-11
e-none-minor-⁹		0-x-0-0-0-2
e-none-major-ᵃᵈᵈ⁹	0-2-2-1-0-2
e-none-minor-ᵃᵈᵈ⁹	0-2-2-0-0-2
e-none-none-ˢᵘˢ⁴	0-2-2-2-0-0
e-none-none-ˢᵘˢ²	x-7-9-9-7-7
f-none-major-none	x-x-3-2-1-1
f-none-minor-none	1-3-3-1-1-1
f-none-none-⁵		1-3-x-x-x-x
f-none-major-⁷		1-3-1-2-1-1
f-none-major-⁷⁺		1-x-2-2-1-0
f-none-minor-⁷		1-3-1-1-1-1
